Title,Authors,Description,Cleaned_Description,Fiction
The Ecstatic Journey: The Transforming Power of Mystical Experience,"By Burnham, Sophy","The author of the best-selling A Book of Angels recounts her journey to mystical illumination, along with that of ordinary people and saints, seers, and holy men and women, and explores the physical effects of mystical experiences.",the author bestselling a book angel recount journey mystical illumination along ordinary people saint seer holy men woman explores physical effect mystical experience,False
The Last Will and Testament of Jacqueline Kennedy Onassis,"By Onassis, Jacqueline Kennedy","Readers who wish to know more about the woman and her life will delight in this deluxe facsimile of the complete, unedited will of Jacqueline Kennedy Onassis, containing a four-color frontispiece portrait of Mrs. Onassis.",reader wish know woman life delight deluxe facsimile complete unedited jacqueline kennedy onassis containing fourcolor frontispiece portrait mr onassis,False
Bride of the Far Side,"By Larson, Gary","This fourth collection of two hundred ""Far Side"" cartoon panels features the antics of fiendish ducks, misunderstood snakes, pointy-headed matrons with sequined glasses, and hilarious captions",this fourth collection two hundred far side cartoon panel feature antic fiendish duck misunderstood snake pointyheaded matron sequined glass hilarious caption,False
Garfield Rolls On (Garfield (Numbered Paperback)),"By Davis, Jim",The eleventh collection of the adventures and misadventures of the Renaissance cat,the eleventh collection adventure misadventure renaissance cat,False
Bad Intent: A Maggie MacGowen Mystery,"By Hornsby, Wendy","Maggie MacGowen, who sees sharply into the complexities of life and often solves crimes through the viewfinder of her video camera, is back in Los Angeles. Waiting for her is LAPD detective Mike Flint - and a case that will take her into the urban war zone of South Central L.A. There, a cop killing solved years before has reverberated through the lives of the three black children who witnessed it, one the son of the man convicted of the murder.Fifteen years later the long-dead case comes back to life, exploding in the media with a bang. A ruthless politician has decided to get the minority vote by claiming the police coerced the children into pointing a finger at Charles Conklin, an innocent man. Conklin's son, deprived of a father's guidance, has ended up in Juvenile Hall charged with a murder of his own. It is a situation sure to ignite sparks of protest in a tinderbox city - and bring Mike Flint's career down in flames.With her dreams newly joined to Mike's, Maggie begins her own campaign to clear his name, and the gutsy, prize-winning filmmaker is taking her camera and sleuthing skills into the heart of an embattled city. But beneath the smoggy L.A. skies, layer after layer of lies make the truth look out of focus around the edges. With her video running, Maggie captures the stark faces of shattered lives and the bodies that turn up. This is the real picture of cops and crime, politics and justice, poverty and dead-end streets where the savvy Maggie hopes to find the solution to a devastating mystery - or lose what is dearest to her heart.Intelligent, multilayered, and filled with surprises, this no-holds-barred suspenseful mystery showcases Wendy Hornsby's cinematic eye for detail and her wise perspective on the inner city - with its all-too-human crimes of passion, rage, and broken dreams.",maggie macgowen see sharply complexity life often solves crime viewfinder video camera back los angeles waiting lapd detective mike flint case take urban war zone south central la there cop killing solved year reverberated life three black child witnessed one son man convicted murderfifteen year later longdead case come back life exploding medium bang a ruthless politician decided get minority vote claiming police coerced child pointing finger charles conklin innocent man conklins son deprived father guidance ended juvenile hall charged murder it situation sure ignite spark protest tinderbox city bring mike flint career flameswith dream newly joined mike maggie begin campaign clear name gutsy prizewinning filmmaker taking camera sleuthing skill heart embattled city but beneath smoggy la sky layer layer lie make truth look focus around edge with video running maggie capture stark face shattered life body turn this real picture cop crime politics justice poverty deadend street savvy maggie hope find solution devastating mystery lose dearest heartintelligent multilayered filled surprise noholdsbarred suspenseful mystery showcase wendy hornsbys cinematic eye detail wise perspective inner city alltoohuman crime passion rage broken dream,True
The Best of Rumpole,"By Mortimer, John Clifford","Rumpole is everyone's favorite defense barrister: he is a fearless tamer of judges who is kept in order only by She Who Must Be Obeyed. A rumbustious defender of the faith, Rumpole is known, not surprisingly, as something of a character. His exploits at the Old Bailey - and elsewhere - are an unsurpassable blend of eloquence, wit, cynicism, and experience.This volume of John Mortimer's favorite Rumpole stories contains some of the bluff barrister's finest moments. There is Rumpole's encounter with the acting world, his frequent and often disillusioning brushes with the Timsons, and many of his confrontations with the pompous and sometimes misguided gentlemen of the Bench.For those unfamiliar with Rumpole, this volume offers a perfect introduction to John Mortimer's wisest and wittiest creation. Those who have already encountered Rumpole will want to reacquaint themselves with the immortal barrister in this hugely entertaining collection of stories.",rumpole everyones favorite defense barrister fearless tamer judge kept order she who must be obeyed a rumbustious defender faith rumpole known surprisingly something character his exploit old bailey elsewhere unsurpassable blend eloquence wit cynicism experiencethis volume john mortimer favorite rumpole story contains bluff barrister finest moment there rumpoles encounter acting world frequent often disillusioning brush timsons many confrontation pompous sometimes misguided gentleman benchfor unfamiliar rumpole volume offer perfect introduction john mortimer wisest wittiest creation those already encountered rumpole want reacquaint immortal barrister hugely entertaining collection story,True
"How to Be the Life of the Podium: Openers, Closers & Everything in Between to Keep Them Listening","By Simmons, Sylvia","Provides one liners, quotes, proverbs, and anecdotes and tells how to use them to make effective and interesting speeches, and offers an introduction to the Simmons System of speech writing",provides one liner quote proverb anecdote tell use make effective interesting speech offer introduction simmons system speech writing,False
"The Giant Book of American Quotations: Over 8,000 Quotations on 264 Subjects","By Carruth, Gorton and Ehrlich, Eugene","This giant compendium contains more 8,000 quotations on 264 subjects related to American life. These wise, witty, and history-making words come from 1,400 notable sources from the founding fathers to contemporary figures. Also included are the texts of 17 famous American documents including the Declaration of Independence, the Emancipation Proclamation, and more. This volume is a rich reference on American history, culture, and values, ideal for browsing and research.On Justice:Injustice anywhere is a threat to justice everywhere.–Martin Luther King, Jr.On Humankind:Human kindCannot bear very much reality–T.S. EliotOn Love:Is there more? More than Love and Death? Then tell me its name!–Emily DickinsonOn Evil:It may be necessary temporarily to accept a lesser evil, but one must never label a necessary evil as good.–Margaret Mead",this giant compendium contains 8000 quotation 264 subject related american life these wise witty historymaking word come 1400 notable source founding father contemporary figure also included text 17 famous american document including declaration independence emancipation proclamation this volume rich reference american history culture value ideal browsing researchon justiceinjustice anywhere threat justice everywhere–martin luther king jron humankindhuman kindcannot bear much reality–ts elioton loveis more love death then tell name–emily dickinsonon evilit may necessary temporarily accept lesser evil one must never label necessary evil good–margaret mead,False
Medea (Plays for Performance Series),"By Euripides and Rudall, Nicholas (TRN)","Medea, whose magical powers helped Jason and the Argonauts take the Golden Fleece, remains one of the strongest female characters ever to appear on stage. In the play she kills her own children. Plays for Performance Series.",medea whose magical power helped jason argonaut take golden fleece remains one strongest female character ever appear stage in play kill child play performance series,False
The Restraint of Beasts,"By Mills, Magnus","CHOSEN AS ONE OF THE BEST NOVELS OF 1998 BY THE LOS ANGELES TIMES AND WINNER OF ENGLAND'S MCKITTERICK PRICE  This award-winning literary tour de force, shortlisted for both the Whitbread and the Booker prizes, tells the captivating tale of three men: Tam and Richie, good Scots lads at heart who have turned loafing into an art form, and their ever exasperated English foreman. Carefully laid plans go haywire from the start, and as they cover their tracks the best they can, the hapless trio heads south from Scotland to do a job in England, where they find that their reputation has preceded them, to say the least.  This outrageous and brilliant tale is riveting from beginning to end, introducing a magnetic new voice.",chosen a one of the best novel of 1998 by the los angeles time and winner of england mckitterick price this awardwinning literary tour de force shortlisted whitbread booker prize tell captivating tale three men tam richie good scot lad heart turned loafing art form ever exasperated english foreman carefully laid plan go haywire start cover track best hapless trio head south scotland job england find reputation preceded say least this outrageous brilliant tale riveting beginning end introducing magnetic new voice,True
Eddy Arnold: Pioneer of the Nashville Sound,"By Streissguth, Michael","Eddy Arnold was just a sweet-voiced, third-generation cotton farmer from Western Tennessee with a dream: to lift himself out of rural poverty and make a name for himself as a country performer. This book traces the history of the Arnold family to a Confederate soldier named Robert M. Arnold, who began farming cotton in the Henderson region after the war. His son, Will, wed twice; his second wife, Georgia, gave birth to Richard Edward Arnold in 1918.After the stock market crash, Will Arnold lost ownership of his farm, and young Ed was less than happy working as a tenant farmer for absentee owners. An avid amateur guitarist, he soon had paying jobs at dances and gatherings around the area; inspired to go further afield, he traveled up the road to Jackson, Tennessee, where he garnered his first radio job. Meanwhile, he worked daytimes for an undertaker to help make ends meet.Forming a duo with fiddler Howard ""Speedy"" McNatt, they moved from station to station, in search of the elusive perfect homebase. They got as far as St. Louis, where their local popularity blossomed. A chance audition with radio cowboy star Pee Wee King led the duo to join King's successful band, and even greater fame for the smooth-voiced Tennessee songster. With King's band, Eddy honed his professional chops, was introduced to a wide audience via Nashville's ""Grand Ole Opry"" radio program, and met the legendary and flamboyant manager Colonel Tom Parker, who would greatly influence his career.Breaking away as a solo act, Eddy signed with Victor Records toward the end of World War II, and formed his first, highly influential band, featuring fiddler McNatt, ""Little"" Roy Wiggins on steel guitar, and bassist Gabe Tucker. His first hits were sentimental ballads, and by the late '40s he was one of Victor's top-selling artists and a consistent concert draw. His popularity was so great that he became a welcome figure on national radio and television in the mid-'50s.Then, a new sound shook the airwaves: Rock and roll. The market for Eddy's smooth country style diminished, and Eddy faced some lean times. Determined to crossover into the mainstream pop market, he experimented with a variety of styles until, in the early '60s, he hit on a perfect blend of country sentiments with uptown accompaniments. The result was a string of mid-'60s hits, highlighted by the classic ""Make the World Go Away."" Eddy Arnold was a star all over again - and this time on the mainstream stage.",eddy arnold sweetvoiced thirdgeneration cotton farmer western tennessee dream lift rural poverty make name country performer this book trace history arnold family confederate soldier named robert m arnold began farming cotton henderson region war his son will wed twice second wife georgia gave birth richard edward arnold 1918after stock market crash will arnold lost ownership farm young ed le happy working tenant farmer absentee owner an avid amateur guitarist soon paying job dance gathering around area inspired go afield traveled road jackson tennessee garnered first radio job meanwhile worked daytime undertaker help make end meetforming duo fiddler howard speedy mcnatt moved station station search elusive perfect homebase they got far st louis local popularity blossomed a chance audition radio cowboy star pee wee king led duo join king successful band even greater fame smoothvoiced tennessee songster with king band eddy honed professional chop introduced wide audience via nashville grand ole opry radio program met legendary flamboyant manager colonel tom parker would greatly influence careerbreaking away solo act eddy signed victor record toward end world war ii formed first highly influential band featuring fiddler mcnatt little roy wiggins steel guitar bassist gabe tucker his first hit sentimental ballad late 40 one victor topselling artist consistent concert draw his popularity great became welcome figure national radio television mid50sthen new sound shook airwave rock roll the market eddy smooth country style diminished eddy faced lean time determined crossover mainstream pop market experimented variety style early 60 hit perfect blend country sentiment uptown accompaniment the result string mid60s hit highlighted classic make world go away eddy arnold star time mainstream stage,False
No Salt Needed Cookbook (Rodale's High Health Cookbook Series),"By Gerras, Charles (EDT)","Discusses the replacement of salt in cooking with other spices and offers recipes for a variety of appetizers, soups, main courses, salads, desserts, and breads without any salt",discus replacement salt cooking spice offer recipe variety appetizer soup main course salad dessert bread without salt,False
Guerrilla Prince: The Untold Story of Fidel Castro,"By Geyer, Georgie Anne","Presents the story of the first modern guerrilla leader, in which the charismatic Cuban revolutionary emerges as his people's betrayer, motivated by megalomania and anti-Americanism",present story first modern guerrilla leader charismatic cuban revolutionary emerges people betrayer motivated megalomania antiamericanism,False
"Sopranos, Mezzos, Tenors, Bassos, And Other Friends","By Prashker, Betty A. (EDT), Chapin, Schuyler, and Radiches, James A. Photographer","Offering detailed portraits of some of the most important figures in opera, a behind-the-scenes look examines the world of opera itself as well as the lives of Pavarotti, Domingo, Sutherland, Tebaldi, Horne, and others. 15,000 first printing.",offering detailed portrait important figure opera behindthescenes look examines world opera well life pavarotti domingo sutherland tebaldi horne others 15000 first printing,False
Jamsa's 1001 DOS & PC Tips/Book and Disk,"By Jamsa, Kris A.","One of the most useful computer books ever published, with tips covering undocumented secrets, memory management, controlling the cursor's appearance, traveling with or mailing floppy disks, using machine codes to create command files, generating sound, faster keyboards, finding a misplaced file, batch files, actually making DOSSHELL do something useful, CD ROMS, and making sense of printer codes and problems. Highly recommended for anyone who occasionally becomes frustrated with a PC.  Includes a 3.5"" disk. Annotation copyright Book News, Inc. Portland, Or.",one useful computer book ever published tip covering undocumented secret memory management controlling cursor appearance traveling mailing floppy disk using machine code create command file generating sound faster keyboard finding misplaced file batch file actually making dosshell something useful cd rom making sense printer code problem highly recommended anyone occasionally becomes frustrated pc includes 35 disk annotation copyright book news inc portland or,False
The Man in My Basement: A Novel,"By Mosley, Walter","The man at Charles Blakey's door has a proposition almost too strange for words. He wants to spend the summer in Charles's basement, and Charles cannot even begin to guess why.The beautiful house has been in the Blakey family for generations, but Charles has just lost his job and is behind on his mortgage payments. The money would be welcome.But Charles Blakey is black and Anniston Bennet is white, and it is clear that the stranger wants more than a basement view. There is something deeper and darker about his request, and Charles does not need any more trouble. But financial necessity leaves him no choice.Once Anniston Bennet is installed in his basement, Charles is cast into a role he never dreamed of. Anniston has some very particular requests for his landlord, and try as he might, Charles cannot avoid being lured into Bennet's strange world. At first he resists, but soon he is tempted - tempted by the opportunity to understand the secret ways of white folks. Tempted to understand a set of codes that has always eluded him. Charles's summer with a man in his basement turns into an exploration of inconceivable worlds of power and manipulation, and unimagined realms of humanity.",the man charles blakeys door proposition almost strange word he want spend summer charles basement charles cannot even begin guess whythe beautiful house blakey family generation charles lost job behind mortgage payment the money would welcomebut charles blakey black anniston bennet white clear stranger want basement view there something deeper darker request charles need trouble but financial necessity leaf choiceonce anniston bennet installed basement charles cast role never dreamed anniston particular request landlord try might charles cannot avoid lured bennet strange world at first resists soon tempted tempted opportunity understand secret way white folk tempted understand set code always eluded charles summer man basement turn exploration inconceivable world power manipulation unimagined realm humanity,True
Marshall McLuhan: The Medium and the Messenger,"By Marchand, Philip","A biography of the man who saw the digital revolution coming decades before anyone else.with a new foreword by Neil Postman When communications thinker Marshall McLuhan gave us the phrases ""the medium is the message"" and ""global village,"" he was ahead of his time. Now, in the age of the digital revolution McLuhan and his work cannot be ignored by any student of culture and technology. Interest in McLuhan has increased dramatically since this biography was first published in 1989 to stunning reviews. The author has extensively revised this new edition to include additional information provided by McLuhan's family and friends, and to present an even clearer and more absorbing personal picture of McLuhan. The book explains the relevance to today's society of a man who reached the height of his fame in the 1960s. The foreword by Neil Postman is original to this edition.* Not for sale in Canada",a biography man saw digital revolution coming decade anyone elsewith new foreword neil postman when communication thinker marshall mcluhan gave u phrase medium message global village ahead time now age digital revolution mcluhan work cannot ignored student culture technology interest mcluhan increased dramatically since biography first published 1989 stunning review the author extensively revised new edition include additional information provided mcluhan family friend present even clearer absorbing personal picture mcluhan the book explains relevance today society man reached height fame 1960s the foreword neil postman original edition not sale canada,False
Hitler's Pope: The Secret History of Pius XII,"By Cornwell, John","An award-winning Roman Catholic journalist presents a shocking record, drawing from secret archives, of the career of Pope Pius XII, showing his long-term collaboration with the Nazis and his anti-Semitism, and discusses his continuing influence. 40,000 first printing. Tour.",an awardwinning roman catholic journalist present shocking record drawing secret archive career pope pius xii showing longterm collaboration nazi antisemitism discus continuing influence 40000 first printing tour,False
Japan: A Reinterpretation,"By Smith, Patrick","A landmark study of Japan in the modern world explores the history of the country over the past fifty years, exploring changes in its cultural, social, economic, and political institutions and assessing its role in contemporary world affairs. 35,000 first printing. Tour.",a landmark study japan modern world explores history country past fifty year exploring change cultural social economic political institution assessing role contemporary world affair 35000 first printing tour,False
The Cambridge Factfinder,"By Crystal, David (EDT)","The Cambridge Factfinder remains the most comprehensive and up-to-date general factbook available. In this new extended edition every area of knowledge has been updated, including populations, international boundaries, the world's political leaders, and international prizes. There is new material covering more than 30 extra pages, including the world's largest cities by population, the most up-to-date political and geographical coverage of the war in the former Yugoslavia, Eritrea as a new country, data about the legal systems of Australia, Canada, South Africa and the USA, details of the universities of 30 new countries, the most recent statistics about the world's language families, the latest details of world English use, and the major causes of death worldwide. There are over 360 illustrations - graphs, diagrams, and specially-drawn maps - and a substantial index.",the cambridge factfinder remains comprehensive uptodate general factbook available in new extended edition every area knowledge updated including population international boundary world political leader international prize there new material covering 30 extra page including world largest city population uptodate political geographical coverage war former yugoslavia eritrea new country data legal system australia canada south africa usa detail university 30 new country recent statistic world language family latest detail world english use major cause death worldwide there 360 illustration graph diagram speciallydrawn map substantial index,False
"The Art of Living : A Guide to Contentment, Joy and Fulfillment","By Dalai Lama XIV, Cumming, Ian (PHT), Thupten Jinpa (TRN), and Cumming, Ian","More than two hundred photographs complement a collection of practical advice and words of wisdom from the Dalai Lama, in an evocative photographic gift book that captures the heart of Buddhist practice.",more two hundred photograph complement collection practical advice word wisdom dalai lama evocative photographic gift book capture heart buddhist practice,False
Antarctica: A Year at the Bottom of the World,"By Mastro, Jim","Vivid full-color photography and a compelling personal narrative explore the remarkable, stark beauty of Antarctica, capturing the harsh, rugged landscape, natural beauty, fierce storms, icy isolation, and extraordinary wildlife of the continent. 20,000 first printing.",vivid fullcolor photography compelling personal narrative explore remarkable stark beauty antarctica capturing harsh rugged landscape natural beauty fierce storm icy isolation extraordinary wildlife continent 20000 first printing,False
Your Money or Your Life: Why We Must Abolish the Income Tax,"By Richman, Sheldon","Argues that the income tax should be abolished because it is an invasion of privacy that gives the government more money and power than the authors of the Constitution intended, and cannot be effectively reformed.",argues income tax abolished invasion privacy give government money power author constitution intended cannot effectively reformed,False
I Love Nature More,"By Vavra, Robert","An unabashed gift book. Vavra's luminous color photographs don't document nature so much as reveal its underlying shapes, colors, textures and moods. The 28 images range from exotic animals and birds to the less-appreciated exoticism of the everyday. A section at the back of the book reflects and comments on the images. 10x10"". Annotation copyright Book News, Inc. Portland, Or.",an unabashed gift book vavras luminous color photograph dont document nature much reveal underlying shape color texture mood the 28 image range exotic animal bird lessappreciated exoticism everyday a section back book reflects comment image 10x10 annotation copyright book news inc portland or,False
Internet Resources for Nurses,"By Fitzpatrick, Joyce J. (EDT) and Montgomery, Kristen S. (EDT)","This new edition of the award-winning guide to the web for nurses is nearly double in size and twice as useful! Expert nurses in more than 50 content areas have carefully selected and reviewed nearly 400 web sites available in their specialty areas --- resulting in an authoritative guide to the best the web has to offer for the professional nurse. Each web description includes a summary of the site, intended audience, sponsor, level of information, and relevance to nurses. The book also indicates sites which can be referred to patients.",this new edition awardwinning guide web nurse nearly double size twice useful expert nurse 50 content area carefully selected reviewed nearly 400 web site available specialty area resulting authoritative guide best web offer professional nurse each web description includes summary site intended audience sponsor level information relevance nurse the book also indicates site referred patient,False
"Workfare or Fair Work: Women, Welfare, and Government Work Programs","By Rose, Nancy Ellen","Can the welfare system  in the United States accord  people dignity? That question is often left out of the current debates  over welfare and workfare. In this provocative book, Nancy Rose argues  that the United States has been successful in the past––notably during  the New Deal and in the 1970s––at shaping programs that gave people  “fair work.”            However, as Rose documents, those innovative  job creation programs were voluntary and were mainly directed at  putting men back to work. Women on welfare, and especially women of  color,  continue to be forced into a very different kind of program:  mandatory, punitive, and demeaning. Such workfare programs are set up  for failure. They rarely train women for jobs with futures, they ignore  the needs of the women’s families, and they do not pay an honest wage.  They perpetuate poverty rather than prevent it.           Rose  uses the history of U.S. job creation programs to show alternatives to  mandatory workfare. Any effort to redesign welfare in America needs to  pay close attention to the lessons drawn from this perceptive analysis  of the history of women, welfare, and work. This is an indispensable  book for students, scholars, policymakers, politicians, and  activists––for everyone who knows the system is broken and wants to fix  it.",can welfare system united state accord people dignity that question often left current debate welfare workfare in provocative book nancy rose argues united state successful past––notably new deal 1970s––at shaping program gave people “fair work” however rose document innovative job creation program voluntary mainly directed putting men back work woman welfare especially woman color continue forced different kind program mandatory punitive demeaning such workfare program set failure they rarely train woman job future ignore need women’s family pay honest wage they perpetuate poverty rather prevent rose us history u job creation program show alternative mandatory workfare any effort redesign welfare america need pay close attention lesson drawn perceptive analysis history woman welfare work this indispensable book student scholar policymakers politician activists––for everyone know system broken want fix,False
Hard Sell,"By Anthony, Piers","When Fisk Centers is persuaded to invest in some Martian real esate, he finds he has bought himself more trouble than he expected, from participating in a suicide fusion car race to narrowly escaping from premature embalming by a robot mortician",when fisk center persuaded invest martian real esate find bought trouble expected participating suicide fusion car race narrowly escaping premature embalming robot mortician,True
The Chelsea Girl Murders: A Robin Hudson Mystery (Robin Hudson Mysteries),"By Hayter, Sparkle","When a fire forces TV executive Robin Hudson to vacate her apartment, she and her cat, Louise Bryant, move into the fabled Chelsea Hotel, the bohemian hostelry where artists both famous and infamous have long lived in semipeaceful coexistence with countless hangers-on, wanna-bes, and rubberneckers looking for the ""real"" New York.Then a smoky-eyed art dealer she's just met dies on her doorstep, drawing Robin reluctantly into a murder investigation. Is the murder related in some way to the star-crossed and rather irritable young lovers who have appealed to Robin for help? Or to a deadly catfight between rival lovers of the dead man? And how do the cake-baking nuns of Immaculate Confection, Inc., figure in it?To sort it out, Robin must brave the whole downtown scene and more: guerrilla artists, jealous women, Zen bodybuilders, gouty widows, and befuddled tourists. It could make a girl crazy, having to dig deep into the history of the venerable hotel nicknamed (not without reason) ""the mother ship."" Oh, plus ... one final, terrible complication: Robin seems to have fallen accidentally in love.",when fire force tv executive robin hudson vacate apartment cat louise bryant move fabled chelsea hotel bohemian hostelry artist famous infamous long lived semipeaceful coexistence countless hangerson wannabe rubbernecker looking real new yorkthen smokyeyed art dealer shes met dy doorstep drawing robin reluctantly murder investigation is murder related way starcrossed rather irritable young lover appealed robin help or deadly catfight rival lover dead man and cakebaking nun immaculate confection inc figure itto sort robin must brave whole downtown scene guerrilla artist jealous woman zen bodybuilder gouty widow befuddled tourist it could make girl crazy dig deep history venerable hotel nicknamed without reason mother ship oh plus one final terrible complication robin seems fallen accidentally love,True
Communication: Means and Technologies for Exchanging Information,"By Ventura, Piero and Casalini, Max","A colorfully illustrated, humorous exploration of the development of human communication tracks progress from Stone Age pictograms and cave paintings, through the evolution of writing, to today's books, films, and satellites.",a colorfully illustrated humorous exploration development human communication track progress stone age pictograms cave painting evolution writing today book film satellite,False
"Big Sky Country: The Best of Montana, North Dakota, Wyoming, and Idaho","By Melford, Michael (PHT), Melford, Michael, and Kittredge, William (INT)","The rugged mountains and pristine valleys of the Northern Rockies are captured in Michael Melford's photographs - landscapes of power and beauty that evoke a sense of wonder at the infinite variety of nature that can never be fully explored or understood.Included are famous natural landmarks - Craters of the Moon in Idaho, St. Mary's Lake in Glacier National Park, Devil's Tower in Wyoming, and, of course, Old Faithful - as well as the simple structures of the plains - churches, barns, and school houses - that speak to life in the Far West.In the introduction William Kittredge describes the realities of life in Montana, a place he chose in his search for ""a genuine world to inhabit.""",the rugged mountain pristine valley northern rockies captured michael melfords photograph landscape power beauty evoke sense wonder infinite variety nature never fully explored understoodincluded famous natural landmark crater moon idaho st mary lake glacier national park devil tower wyoming course old faithful well simple structure plain church barn school house speak life far westin introduction william kittredge describes reality life montana place chose search genuine world inhabit,False
Basic Bookbinding,"By Lewis, Arthur William","Starting from basic principles and assuming no previous experience, this modern exposition of the elements of bookbinding enables both the beginner and the expert to apply the latest and most simplified techniques to rebinding old favorites and binding many new paperback books.A complete list of all necessary materials, including a guide to the proper selection of tools, paper, boards, cloth, leather, or sheepskin covering fabrics and lettering inks and pigments, introduces the subject. In surprisingly easy stages, you are shown how to collate a book, sew it, back it, trim it, make boards, and attach them to the book. Step-by-step instructions and hundreds of photographs and diagrams of equipment and key operations reduce the process to essentials.Individual chapters are devoted to single-sectioned, multi-sectioned, and case-bound books, hollow-backed and library style binding, the use of end papers, and the most practical methods of lettering the finished book. The author includes a valuable appendix which summarizes the precise steps followed in each operation in convenient tabular form.An elementary text, simple enough for the beginner yet containing new material of interest to the expert, Basic Bookbinding avoids intricate techniques and elaborate equipment. Mr. Lewis, twice first prize winner in national competition, presents the subject with the clarity born of many years of experience in teaching bookbinding.",starting basic principle assuming previous experience modern exposition element bookbinding enables beginner expert apply latest simplified technique rebinding old favorite binding many new paperback booksa complete list necessary material including guide proper selection tool paper board cloth leather sheepskin covering fabric lettering ink pigment introduces subject in surprisingly easy stage shown collate book sew back trim make board attach book stepbystep instruction hundred photograph diagram equipment key operation reduce process essentialsindividual chapter devoted singlesectioned multisectioned casebound book hollowbacked library style binding use end paper practical method lettering finished book the author includes valuable appendix summarizes precise step followed operation convenient tabular forman elementary text simple enough beginner yet containing new material interest expert basic bookbinding avoids intricate technique elaborate equipment mr lewis twice first prize winner national competition present subject clarity born many year experience teaching bookbinding,False
Ties That Stress: The New Family Imbalance,"By Elkind, David","What has happened to the American family in the last few decades? And what are these changes doing to our children? David Elkind, renowned child psychologist and author of The Hurried Child, has devoted his career to these urgent questions. This eloquent book puts together all the puzzling facts and conflicting accounts to show us as never before what the American family has become.",what happened american family last decade and change child david elkind renowned child psychologist author the hurried child devoted career urgent question this eloquent book put together puzzling fact conflicting account show u never american family become,False
All Century Team,"By Vancil, Mark (EDT) and Hirdt, Peter (EDT)","Profiles the 30 best baseball players of the twentieth century as chosen by fans and a panel of baseball writers, officials, and broadcasters",profile 30 best baseball player twentieth century chosen fan panel baseball writer official broadcaster,False
Through the Eyes of a Child: An Introduction to Children's Literature,"By Norton, Donna E and Norton, Saundra E.","One of the most respected, comprehensive sources on available children's literature.  Surveys the history of children' literature, explores the child's response to literature, and explains how to evaluate and select literature for children. Features unique two-part genre chapters -- one part content and one part methods. Covers artists and their illustrations, picture books, traditional literature, modern fantasy, poetry, contemporary realistic fiction, historical fiction, multicultural literature, and nonfiction (biographies and informational books). Contains illustrations from favorite full-color children's books (in their original colors), and art from real children. Features guest editorials by authors and illustrators; flashbacks of historical events, works, and people; and a section on multicultural literature in every chapter. Provides a dual-platform CD-ROM with annotated reference information on the more than 3000 children's literature titles listed in the book.  For anyone interested in children's literature.",one respected comprehensive source available childrens literature survey history child literature explores child response literature explains evaluate select literature child feature unique twopart genre chapter one part content one part method cover artist illustration picture book traditional literature modern fantasy poetry contemporary realistic fiction historical fiction multicultural literature nonfiction biography informational book contains illustration favorite fullcolor childrens book original color art real child feature guest editorial author illustrator flashback historical event work people section multicultural literature every chapter provides dualplatform cdrom annotated reference information 3000 childrens literature title listed book for anyone interested childrens literature,False
The Inheritor's Handbook: A Definitive Guide for Beneficiaries (Bloomberg Personal Bookshelf (Hardcover)),"By Rottenberg, Dan","The Inheritor's Handbook is remarkable for its jargon-free solutions to sophisticated family-wealth issues and its relentless focus on the beneficiary's point of view, a view absent from most books on estate planning. This book delivers proven advice from experts and heirs, with real-life examples that dramatize dozens of problems.",the inheritor handbook remarkable jargonfree solution sophisticated familywealth issue relentless focus beneficiary point view view absent book estate planning this book delivers proven advice expert heir reallife example dramatize dozen problem,False
The World's Armies,"By Westhorp, Chris (EDT)","International military historians, intelligence analysts, and others discusses the armies of the world, including the troops, weapons, and vehicles of all of the world's land forces",international military historian intelligence analyst others discus army world including troop weapon vehicle world land force,False
Guglielmo Marconi (Lifetimes Series),"By Tames, Richard","Discusses the visionary inventor's life and his application of theories in physics to discover the ""wireless"" and thus achieve wealth and international renown",discus visionary inventor life application theory physic discover wireless thus achieve wealth international renown,False
The Earth: A Physical and Human Geography,"By De Blij, Harm J.","This standard text in the field provides an overview of basic concepts and theory of physical and human geography. The revised presentation links more closely the physical and human themes, and connects historic events and modern phenomena. New material includes expanded treatments of spatial and environmental topics, crustal plate movements, biogeography, energy resources, demography, political geography, regional concepts and structures, plus a new chapter on careers in geography. Also contains additional color plates and many references to the geographical literature.",this standard text field provides overview basic concept theory physical human geography the revised presentation link closely physical human theme connects historic event modern phenomenon new material includes expanded treatment spatial environmental topic crustal plate movement biogeography energy resource demography political geography regional concept structure plus new chapter career geography also contains additional color plate many reference geographical literature,False
Mortgaging the Earth,"By Rich, Bruce","The World Bank, Environmental Impoverishment, and the Crisis of Development""A detailed and thought-provoking look at an important subject from the viewpoint of a passionate advocate.""— The New York Times Book Review",the world bank environmental impoverishment crisis developmenta detailed thoughtprovoking look important subject viewpoint passionate advocate— the new york time book review,False
