id,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
55432,e,1.52,x,w,n,f,,d,k,6.07,2.53,,,w,,,f,f,,d,w
55433,e,7.15,f,s,b,f,x,c,w,7.17,10.36,,s,n,,,f,f,,l,a
55434,p,2.44,c,,w,f,a,c,w,3.73,3.51,,i,u,,,f,f,,p,a
55435,e,6.57,s,,n,f,d,c,w,5.19,8.49,,s,w,,,f,f,,l,a
55436,p,2.28,c,h,y,f,,,y,7.79,2.75,,,y,,,f,f,,g,u
55437,p,1.01,b,t,y,f,,c,g,3.09,2.37,,,n,,,t,f,,g,a
55438,p,3.75,x,y,y,f,a,,w,6.07,3.61,,y,y,,,t,r,,d,a
55439,p,3.12,x,i,e,f,,,e,4.46,5.68,,,e,,,f,f,,d,a
55440,p,11.48,o,,e,f,f,f,f,3.98,28.3,,g,n,,,f,f,,d,u
55441,p,2.72,o,,w,f,,f,f,5.24,29.52,,g,w,,,t,f,,d,a
55442,e,4.68,f,,w,f,x,c,g,5.91,4.15,,,w,,,f,f,,d,a
55443,e,3.98,x,h,n,f,,c,n,6.0,6.5,,s,w,,w,f,f,k,d,u
55444,p,3.88,x,i,y,f,a,,w,5.43,3.56,,y,y,,,t,r,,g,u
55445,p,3.69,s,,u,f,a,,w,4.52,7.1,,,y,,,f,f,,d,a
55446,e,10.77,x,y,n,t,e,,p,9.52,17.96,,y,w,,,t,l,,d,a
55447,e,7.27,x,t,n,f,e,,w,13.86,14.07,,s,w,u,w,f,f,,d,u
55448,e,5.43,x,t,n,f,p,,n,5.42,11.21,,,n,,,f,f,,d,u
55449,p,0.58,f,,o,f,d,,o,4.3,1.02,,,y,,,f,f,w,g,a
55450,e,3.5,b,y,n,f,,c,g,5.93,2.41,,,w,,,f,f,,d,a
55451,p,1.17,x,s,y,f,f,f,y,3.91,5.59,,,y,,,f,f,,d,a
55452,e,7.58,p,,g,f,a,,w,7.21,13.62,,,w,,,f,f,,d,u
55453,p,3.04,b,w,u,f,a,c,u,4.8,5.31,,s,u,,,f,f,,l,u
55454,e,5.49,s,,n,f,d,c,w,5.1,7.5,,s,w,,,f,f,,l,a
55455,e,4.04,x,,w,f,x,c,n,7.74,7.4,b,,w,,w,t,,,g,a
55456,e,3.41,f,d,p,t,d,c,p,3.96,4.9,,,n,,,f,f,,d,u
55457,e,6.38,s,,n,f,d,c,w,4.23,6.83,,s,w,,,f,f,,h,a
55458,p,4.1,b,t,n,f,x,c,p,6.23,4.84,,i,n,,,f,f,,m,u
55459,e,1.49,f,w,g,f,,d,g,4.75,2.29,,,w,,,f,f,,g,s
55460,p,7.15,x,y,w,t,,,n,10.12,16.58,s,,w,,,t,l,,g,a
55461,p,7.35,s,,y,t,d,,o,4.56,11.27,,,w,,,t,f,,d,u
55462,p,4.25,b,t,n,f,x,c,p,4.99,5.06,,i,n,,,f,f,,g,a
55463,p,0.78,x,g,p,f,a,,n,4.67,1.07,,s,k,,,f,f,,d,u
55464,p,4.0,f,l,y,f,x,d,n,4.67,5.62,,,y,,,f,f,,d,a
55465,p,5.52,x,y,w,t,,,w,7.88,13.94,s,,w,,,t,l,,g,u
55466,e,11.12,f,,b,f,d,c,w,2.31,13.68,,,w,,,f,f,,d,w
55467,e,8.01,s,,g,f,s,c,g,8.11,21.85,b,,u,,,f,f,,g,a
55468,e,7.17,x,h,y,f,p,,y,7.56,15.06,,,y,,y,t,,,d,u
55469,e,3.5,f,s,w,f,d,d,w,3.7,5.96,,,w,,,f,f,,g,a
55470,e,4.03,b,g,n,f,x,d,w,4.78,3.15,,,y,,,f,f,,g,u
55471,e,11.67,p,s,w,f,e,c,k,23.46,13.94,,s,w,,,t,e,,u,a
55472,p,5.52,s,d,o,f,d,c,o,3.01,5.92,,,o,,,f,f,,h,u
55473,p,8.52,x,y,n,f,a,c,n,10.81,10.16,,y,n,,,t,,,d,a
55474,e,5.02,x,,w,f,d,,r,5.79,7.61,,,r,,,f,f,,l,u
55475,p,0.8,x,g,p,f,a,,n,4.23,1.05,,h,k,,,f,f,,d,s
55476,p,5.99,x,e,e,f,a,,w,6.12,10.08,,,y,,w,t,z,,d,a
55477,p,12.0,f,,g,f,e,,w,11.46,17.12,,,w,u,w,t,g,,d,u
55478,e,3.64,x,s,w,f,d,d,w,3.85,6.44,,,w,,,f,f,,g,w
55479,p,3.41,b,y,n,f,,c,w,6.02,4.41,s,s,w,,,f,f,,d,u
55480,e,3.58,f,d,u,f,d,c,p,4.21,6.22,,,p,,,f,f,,d,u
55481,p,2.79,o,,k,f,f,f,f,3.28,12.81,,g,n,,,f,f,,d,u
55482,p,5.59,x,,y,f,,c,r,6.85,13.14,,,y,,,f,f,,d,a
55483,p,4.9,x,,y,f,s,d,y,4.77,10.9,,i,y,,,f,f,,d,a
55484,p,8.45,o,t,y,f,,c,y,1.61,16.63,,,y,,,f,f,,d,a
55485,p,8.49,s,t,n,t,d,,w,4.61,13.96,,t,r,,,f,f,,d,a
55486,e,7.61,f,s,n,f,s,c,w,6.03,9.69,b,i,w,,,f,f,,g,a
55487,e,0.98,p,g,g,f,,,g,3.29,1.43,,,w,,,f,f,,d,s
55488,e,7.97,x,d,n,t,p,,y,6.21,12.44,,,e,,,f,f,,d,u
55489,p,1.87,f,i,l,f,a,,w,3.44,2.54,,,w,,,f,f,p,g,u
55490,e,3.01,b,y,n,f,,c,n,6.31,3.36,,,w,,,f,f,,d,u
55491,p,8.45,x,y,n,f,a,c,y,11.12,10.42,,y,y,,,t,,,d,a
55492,p,12.56,x,h,y,f,s,,y,7.37,18.73,,i,n,,,f,f,,d,u
55493,p,1.5,x,g,y,f,d,d,n,2.85,2.92,,s,n,,,f,f,,l,u
55494,p,1.46,b,h,n,f,a,,n,4.29,1.39,,t,n,,,f,f,,h,s
55495,e,3.12,x,s,o,f,a,c,o,4.41,6.89,,,e,,,f,f,,d,u
55496,p,9.46,x,e,n,f,a,,n,10.79,16.0,s,,n,,e,f,f,,d,a
55497,p,3.04,x,k,w,f,s,,p,3.42,2.56,,,n,,,f,f,p,g,a
55498,p,3.01,s,d,w,f,d,d,p,3.76,2.7,,h,w,,,f,f,,g,a
55499,e,5.81,o,,n,f,f,f,f,5.73,19.87,,,n,,,f,f,,l,s
55500,e,10.33,s,,w,t,d,c,w,5.99,24.52,,,w,,,f,f,,d,u
55501,e,7.75,x,,g,t,p,,g,11.92,24.67,,y,w,,,f,f,,d,u
55502,e,10.66,x,s,r,f,x,,n,6.89,23.67,,,p,,,f,f,,d,a
55503,e,10.36,x,y,n,t,e,,p,9.71,18.77,,y,w,,,t,l,,l,a
55504,p,4.38,o,,w,f,f,f,f,5.33,28.38,,g,w,,,t,f,,p,a
55505,e,6.3,x,y,n,f,e,c,w,4.64,10.02,,y,n,,,f,f,,d,a
55506,e,6.33,x,t,n,f,e,,w,12.4,12.38,,s,w,u,w,f,f,,d,a
55507,p,2.82,x,k,n,f,s,,p,3.7,3.1,,,n,,,f,f,p,g,a
55508,e,4.42,x,,n,f,x,c,n,7.88,8.86,b,,n,,w,t,,,g,s
55509,e,3.95,x,k,n,f,p,,n,4.76,11.16,,,n,,,f,f,,d,a
55510,p,5.59,c,k,y,t,x,c,p,6.98,13.26,,,w,,,f,f,,d,u
55511,e,4.98,x,s,b,f,x,c,w,6.9,8.28,,s,n,,,f,f,,l,a
55512,p,2.56,f,d,n,f,x,c,w,3.95,2.96,b,i,n,,,f,f,,d,u
55513,e,6.43,x,t,n,f,p,d,y,6.24,12.07,,s,n,,,f,f,,h,u
55514,p,4.53,x,t,o,f,a,c,y,5.97,5.69,,g,n,,,f,f,,g,u
55515,e,9.92,x,t,n,t,p,,y,9.27,17.43,,,n,,w,t,p,,d,u
55516,p,5.29,f,t,n,f,x,d,n,5.61,5.16,,,y,,,f,f,,d,a
55517,p,6.32,p,y,g,f,,,g,10.86,14.34,,s,w,,,t,z,,g,u
55518,p,1.67,b,g,y,f,,c,n,4.74,3.41,,,n,,,f,f,,m,u
55519,p,1.66,x,i,l,f,a,,p,3.59,2.31,,,w,,,f,f,p,g,u
55520,e,1.01,f,g,n,t,a,,w,5.56,1.01,,,n,,,f,f,,d,a
55521,e,3.2,f,h,n,f,,c,n,6.35,5.62,,s,w,,,f,f,k,d,a
55522,p,12.37,f,,g,f,e,,w,11.32,15.03,,,w,u,w,t,g,,d,u
55523,e,2.99,x,s,w,f,d,d,w,3.8,5.54,,,w,,,f,f,,m,w
55524,e,5.95,x,y,n,f,e,c,w,5.98,10.06,,y,n,,,f,f,,d,a
55525,p,18.29,x,t,o,f,p,,y,5.92,45.78,,,n,,,f,f,,d,u
55526,p,2.3,x,y,o,f,d,,y,2.83,5.29,,,o,,,f,f,,h,a
55527,p,7.06,x,i,y,f,a,c,y,7.25,10.63,,,n,,,f,f,,d,a
55528,p,8.96,x,,n,f,p,,p,11.55,31.49,c,,n,,,f,f,w,d,u
55529,p,6.16,s,,n,t,d,c,b,5.28,5.5,,,e,,,f,f,,d,u
55530,e,6.68,x,y,n,f,e,c,p,5.88,9.92,,y,n,,,f,f,,d,u
55531,p,2.92,o,,g,f,f,f,f,3.28,13.08,,g,n,,,f,f,,d,a
55532,p,8.53,x,i,n,f,a,,n,10.24,15.61,s,,n,,n,f,f,,h,a
55533,e,1.13,p,g,g,f,,,g,3.1,1.46,,,w,,,f,f,,d,w
55534,p,1.93,b,g,n,f,,c,n,6.5,3.09,,,n,,,f,f,,g,u
55535,e,5.67,f,s,b,f,x,c,w,7.02,10.46,,s,n,,,f,f,,l,w
55536,p,2.99,s,w,o,t,d,c,y,3.87,4.9,,,n,,,f,f,,d,u
55537,p,11.23,f,,n,f,a,,w,11.34,34.62,,,w,,,f,f,,d,u
55538,e,6.99,x,y,n,f,e,c,w,7.32,10.21,,y,n,,,f,f,,d,u
55539,p,3.49,b,t,n,f,,,k,8.48,5.12,,,w,,,t,,k,g,w
55540,p,2.87,f,w,o,t,d,c,y,3.75,6.07,,,n,,,f,f,,d,a
55541,e,9.67,x,s,u,f,a,c,w,4.85,16.23,,,w,,,f,f,,d,a
55542,p,3.34,o,,k,f,f,f,f,3.76,15.29,,g,n,,,f,f,,d,u
55543,p,2.44,x,g,w,f,a,d,w,3.08,1.75,,,n,,,f,f,,l,u
55544,e,1.54,c,g,n,f,a,,g,4.91,1.63,,,g,,,f,f,,d,u
55545,p,3.4,o,,k,f,f,f,f,3.74,14.98,,g,n,,,f,f,,d,a
55546,p,9.54,o,,e,f,f,f,f,3.73,25.11,,g,n,,,f,f,,d,u
55547,p,2.04,p,t,n,f,a,c,n,7.69,2.59,,t,y,,,t,e,,m,a
55548,p,3.13,f,t,r,f,a,,y,5.19,6.26,,t,y,,,f,f,,g,a
55549,p,3.5,b,y,n,f,,c,w,6.54,4.72,s,s,w,,,f,f,,d,u
55550,p,3.4,o,,w,f,f,f,f,5.0,28.67,,g,w,,,t,f,,p,u
55551,p,7.36,f,s,r,f,s,d,w,7.87,16.65,r,i,n,,,f,f,,d,u
55552,p,6.63,s,t,p,t,d,c,p,4.53,10.21,,,p,,,f,f,,d,a
55553,e,51.03,o,y,y,f,p,,y,6.69,36.25,,k,n,,,f,f,,d,u
55554,p,2.19,b,g,w,f,,c,n,6.9,3.21,,,n,,,f,f,,m,s
55555,p,2.35,x,g,e,f,a,,w,6.61,2.47,,,n,,,f,f,,d,a
55556,p,7.05,x,e,e,f,a,,n,8.26,10.35,,,e,,w,t,z,,d,a
55557,p,8.34,p,g,n,f,e,,w,7.58,14.62,,y,w,u,w,t,p,,d,a
55558,e,3.28,x,g,w,f,x,d,w,4.3,2.67,,,y,,,f,f,,g,u
55559,p,12.36,x,s,n,t,p,,e,9.47,28.42,c,,y,,,f,f,,d,u
55560,e,10.01,s,t,p,t,d,c,o,5.9,17.43,,,w,,,f,f,,d,a
55561,p,4.96,x,,w,f,,c,r,4.03,12.24,,,y,,,f,f,,d,a
55562,p,8.9,o,,e,f,f,f,f,3.62,24.22,,g,n,,,f,f,,d,w
55563,e,9.62,x,t,n,t,p,,y,5.67,22.12,,,n,,,f,f,,d,u
55564,e,13.02,x,s,e,f,d,d,w,10.88,17.47,,i,n,,,t,,w,d,u
55565,p,6.84,f,,e,f,x,d,w,6.07,16.47,b,,w,,,f,f,,d,a
55566,e,6.93,f,s,n,f,s,c,w,5.71,9.15,b,i,w,,,f,f,,l,a
55567,e,10.85,f,e,b,f,,c,b,5.91,21.19,,,w,,,t,f,,d,u
55568,e,7.42,f,h,e,f,x,c,w,6.21,17.81,b,,w,,,f,f,,d,w
55569,p,2.86,x,t,n,f,s,c,n,4.62,7.75,,,w,,n,t,z,,d,u
55570,p,47.61,o,y,y,f,p,,y,5.57,29.13,,k,k,,,f,f,,d,u
55571,p,3.44,x,y,y,f,a,,w,5.89,3.56,,y,n,,,t,r,,g,u
55572,p,2.98,s,w,o,t,d,c,n,3.79,6.4,,,n,,,f,f,,d,a
55573,e,12.25,f,,n,f,d,c,w,2.54,16.86,,,w,,,f,f,,d,u
55574,p,5.9,f,k,n,f,p,,n,3.75,6.59,,k,n,,,t,f,,d,u
55575,p,7.47,f,t,y,f,x,c,y,5.55,16.64,,,y,,,f,f,,d,a
55576,e,12.39,x,h,n,t,p,,y,10.29,23.16,,,n,,,f,f,,d,u
55577,e,3.53,x,k,n,f,p,,e,4.28,9.49,,,y,,,f,f,,d,a
55578,e,6.78,x,s,u,f,a,c,w,4.78,12.74,,,w,,,f,f,,d,u
55579,p,7.67,x,h,r,f,,c,w,11.1,13.54,,,w,u,w,t,e,,d,u
55580,e,5.97,x,h,g,f,a,d,n,6.53,6.01,,t,g,,,t,l,,d,w
55581,p,4.34,x,t,n,f,a,c,n,4.9,6.35,,y,o,,,t,z,,d,w
55582,p,4.83,f,l,n,f,a,d,n,6.49,5.25,,i,y,,,f,f,,d,u
55583,e,4.39,o,,g,f,f,f,f,5.14,21.0,,,n,,,f,f,,d,s
55584,p,2.13,f,i,l,f,a,,w,4.3,2.67,,,w,,,f,f,p,g,a
55585,p,0.99,b,t,y,f,,c,k,3.59,2.67,,,n,,,t,f,,g,a
55586,p,4.04,f,t,r,f,a,,y,5.19,6.2,,t,r,,,f,f,,d,a
55587,p,4.54,x,h,l,f,s,c,u,6.01,7.95,,y,l,,,t,e,u,g,a
55588,p,10.47,s,t,p,t,d,c,p,8.6,15.91,,,p,,,t,f,,d,u
55589,p,2.56,c,,w,f,a,c,w,3.88,3.51,,i,w,,,f,f,,p,a
55590,p,13.26,f,,g,f,e,,w,10.86,13.43,,,w,u,w,t,e,,d,u
55591,p,8.8,f,y,u,f,s,c,y,6.36,13.39,,y,u,,,f,f,,d,a
55592,p,1.87,x,i,k,f,a,,w,3.32,2.34,,,w,,,f,f,p,g,a
55593,p,9.0,b,t,w,f,e,c,w,13.26,18.23,,y,w,u,w,t,e,,d,a
55594,e,7.65,x,,n,t,p,,g,13.03,27.16,,y,w,,,f,f,,d,u
55595,p,6.49,s,w,p,f,s,c,p,5.05,10.01,,,p,,,f,f,,d,w
55596,p,3.24,f,t,n,f,x,c,p,4.15,3.96,,i,n,,,f,f,,m,u
55597,p,8.5,o,e,o,f,,c,y,1.59,17.96,,,y,,,f,f,,d,a
55598,p,11.07,f,,g,f,e,,w,10.41,14.46,,,w,u,w,t,e,,d,u
55599,p,2.42,x,g,e,f,a,,p,7.31,2.43,,,w,,,f,f,,d,a
55600,p,1.39,x,k,n,f,,,n,4.1,1.66,,,n,,,f,f,,d,w
55601,p,6.98,x,y,w,f,,,n,7.45,12.74,s,,w,,,t,l,,d,u
55602,p,1.48,x,k,w,f,s,,p,3.71,2.42,,,n,,,f,f,p,g,a
55603,p,2.16,f,i,k,f,a,,p,3.84,2.45,,,w,,,f,f,p,g,u
55604,p,1.26,x,k,n,f,,,n,4.37,1.26,,,n,,,f,f,,d,w
55605,p,8.01,s,,o,t,d,,o,4.63,12.23,,,w,,,t,f,,d,u
55606,p,11.58,x,,n,f,e,,w,11.24,14.9,,,w,u,w,t,g,,d,u
55607,e,10.92,x,t,n,t,d,c,n,6.01,14.99,,,n,,,f,f,,h,u
55608,p,1.28,f,s,y,f,f,f,f,4.46,6.47,,,y,,,f,f,,d,a
55609,e,3.59,x,d,n,f,p,,n,4.4,10.31,,,n,,,f,f,,d,u
55610,e,6.52,x,s,o,f,d,d,o,5.58,12.14,,,w,,,f,f,,d,a
55611,e,6.4,x,s,w,f,e,c,p,5.22,12.88,,,w,,w,t,e,,g,u
55612,p,3.8,x,s,y,f,,c,r,8.17,7.95,,,y,u,w,t,z,r,d,a
55613,p,4.49,x,y,l,f,e,c,n,6.16,9.74,,y,w,,,t,e,u,g,a
55614,p,12.57,f,,n,f,e,,w,12.16,15.29,,,w,u,w,t,e,,d,a
55615,e,7.38,x,t,y,f,p,,y,6.77,14.34,,,y,,y,t,,,d,u
55616,e,46.89,o,y,y,f,p,,y,5.75,22.05,,k,k,,,f,f,,d,u
55617,p,6.82,s,t,p,t,d,c,p,6.84,11.15,,,p,,,t,f,,d,a
55618,p,0.61,b,t,n,f,,c,g,3.05,2.35,,,n,,,t,f,,g,a
55619,e,5.06,o,,g,f,f,f,f,5.17,19.91,,,n,,,f,f,,d,s
55620,p,10.09,s,t,p,t,d,c,p,8.71,17.08,,,p,,,t,f,,d,a
55621,p,3.09,f,y,p,f,e,c,w,4.54,3.4,,k,w,,,t,e,,d,u
55622,p,14.14,x,k,n,t,p,,o,9.12,30.97,c,,y,,,f,f,,d,a
55623,e,1.71,x,g,y,f,a,,w,6.5,2.56,,t,y,,,f,f,,g,a
55624,p,1.16,x,s,y,f,f,f,f,3.82,5.67,,,n,,,f,f,,d,u
55625,p,5.98,c,k,y,t,x,c,y,6.7,12.58,,,w,,,f,f,,g,a
55626,e,5.97,c,,g,f,f,f,f,5.95,20.25,,,n,,,f,f,,d,s
55627,e,6.93,s,,w,f,d,,p,3.46,9.77,,,w,,,f,f,,d,u
55628,p,8.15,x,y,w,t,e,,w,7.99,14.29,s,,w,,,t,l,,d,u
55629,p,1.36,x,,n,f,,,k,4.89,2.58,,s,n,,,f,f,k,g,a
55630,p,8.14,o,,n,f,f,f,f,3.07,23.86,,g,n,,,f,f,,d,u
55631,p,13.42,x,,g,f,e,,w,10.91,14.57,,,w,u,w,t,e,,d,u
55632,e,6.96,x,y,w,f,e,c,n,5.22,13.21,,,w,,w,t,e,,g,a
55633,e,9.59,x,,n,t,,,w,11.46,17.2,b,,w,u,w,t,g,,d,u
55634,p,3.28,b,w,r,f,a,,y,4.98,7.37,,t,y,,,f,f,,g,u
55635,e,1.57,c,g,n,f,a,,w,5.1,1.72,,,g,,,f,f,,d,u
55636,e,3.64,s,y,n,f,a,d,p,7.33,4.01,,i,n,,,f,f,,d,a
55637,p,0.69,x,g,e,f,a,,p,4.1,1.02,,h,k,,,f,f,,d,s
55638,e,2.96,x,d,n,f,p,,e,4.25,9.83,,,n,,,f,f,,d,a
55639,p,1.75,x,,n,f,,,k,5.58,2.75,,s,n,,,f,f,k,g,a
55640,e,3.65,f,h,n,f,,c,n,5.35,6.21,,s,w,,w,f,f,k,d,u
55641,p,5.72,x,h,n,f,a,c,n,5.29,6.69,,y,n,,,t,z,,d,w
55642,e,6.89,x,d,n,t,p,,y,6.96,13.6,,,e,,,f,f,,d,a
55643,p,2.36,b,g,n,f,,c,n,6.38,3.27,,,n,,,f,f,,g,a
55644,p,9.38,x,e,n,f,a,,n,6.73,11.62,s,,n,,e,f,f,,d,a
55645,p,9.0,x,,n,t,x,,u,10.44,22.53,s,,n,,u,f,f,,d,a
55646,p,3.64,f,d,b,f,x,c,w,4.77,3.11,b,i,n,,,f,f,,l,a
55647,p,1.55,b,h,n,f,a,,n,4.33,1.32,,t,n,,,f,f,,g,u
55648,e,3.09,f,s,w,f,d,d,w,3.81,6.23,,,w,,,f,f,,m,a
55649,p,5.02,f,,g,f,d,c,w,5.55,10.26,b,,n,,,f,f,,d,w
55650,e,7.21,x,y,n,f,e,c,w,6.16,10.82,,y,n,,,f,f,,d,a
55651,p,3.76,x,y,n,f,a,,w,4.96,3.46,,y,y,,,t,r,,h,u
55652,p,3.48,x,y,y,f,a,,w,4.41,3.37,,y,n,,,t,r,,g,a
55653,e,8.19,x,,p,f,x,c,w,7.54,16.34,,s,w,,,f,f,,d,u
55654,p,3.33,x,t,n,f,s,c,p,5.28,9.27,,,w,,n,t,z,,d,u
55655,p,10.06,x,h,y,f,s,,y,6.76,16.74,,i,n,,,f,f,,d,a
55656,p,0.72,x,g,y,f,,,y,3.52,0.75,,,w,,,f,f,,d,u
55657,p,1.4,x,,n,f,,,k,5.43,2.42,,s,n,,,f,f,k,g,u
55658,e,11.35,s,t,p,t,d,c,o,5.98,17.71,,,w,,,f,f,,d,a
55659,e,3.41,b,y,n,f,,c,n,6.21,3.03,,,w,,,f,f,,d,w
55660,e,6.8,x,h,y,t,x,c,y,7.01,14.81,,,w,,,f,f,,d,a
55661,e,6.36,x,,w,f,e,,w,6.05,12.19,b,,w,u,y,t,g,,d,u
55662,e,8.48,x,,g,f,a,,w,8.28,14.22,,,g,,,f,f,,d,u
55663,e,7.16,x,y,w,f,e,c,n,4.97,12.72,,,w,,w,t,e,,g,a
55664,e,4.36,x,s,n,f,p,,n,4.81,11.26,,,n,,,f,f,,d,a
55665,p,18.63,x,g,e,f,p,,y,4.83,30.67,,,n,,,f,f,,d,w
55666,p,7.31,c,k,y,t,x,c,r,7.02,12.56,,,w,,,f,f,,d,u
55667,p,5.17,x,,e,f,,c,w,2.97,11.97,,,y,,,f,f,,d,a
55668,p,8.84,s,h,r,t,d,,w,4.81,15.63,,t,g,,,f,f,,d,u
55669,e,8.23,x,,e,f,x,c,w,8.3,18.76,,s,w,,,f,f,,d,u
55670,p,4.01,o,,w,f,f,f,f,5.46,30.2,,g,w,,,t,f,,d,a
55671,e,1.52,x,w,g,f,,d,g,5.15,2.52,,,w,,,f,f,,g,w
55672,p,4.22,b,w,u,f,a,c,u,6.15,6.49,,s,u,,,f,f,,l,a
55673,p,8.51,x,i,n,f,a,,n,11.17,15.35,s,,n,,n,f,f,,h,a
55674,e,9.92,x,h,n,t,p,,n,7.32,17.47,,,n,,w,t,p,,d,a
55675,p,3.79,b,y,n,f,,c,u,6.21,4.39,s,s,w,,,f,f,,d,a
55676,p,6.46,s,,o,f,d,c,o,3.88,8.12,,,y,,,f,f,,h,a
55677,p,5.65,x,k,n,f,a,c,y,5.96,6.7,,i,y,,,t,,,d,a
55678,p,18.94,x,d,e,f,p,,y,4.82,35.67,,,n,,,f,f,,d,u
55679,e,5.08,f,s,b,f,d,d,o,5.32,12.0,,,w,,,f,f,,d,a
55680,e,9.92,x,s,n,t,p,,y,8.05,18.35,,,n,,w,t,p,,d,u
55681,p,3.01,b,,k,f,a,,n,8.38,2.53,,,n,,w,f,f,k,g,a
55682,p,2.74,b,,g,f,a,,k,8.82,2.49,,,g,,w,t,f,k,g,a
55683,p,4.13,x,h,n,f,a,c,n,4.26,5.61,,y,o,,,t,z,,d,w
55684,e,5.55,x,y,n,f,e,c,w,4.86,9.93,,y,n,,,f,f,,d,u
55685,e,6.98,f,i,n,f,e,c,n,4.31,12.52,,,w,,,t,r,,w,a
55686,e,5.82,f,s,b,f,d,d,b,5.65,12.89,,,w,,,f,f,,m,a
55687,e,11.32,s,,w,t,d,c,p,5.24,24.48,,,w,,,f,f,,d,a
55688,e,3.0,b,y,n,f,,c,k,6.49,2.63,,,w,,,f,f,,d,a
55689,p,0.84,x,,o,f,d,,o,4.46,1.06,,,y,,,f,f,w,g,u
55690,p,11.06,x,e,n,t,p,,o,8.08,28.06,,,e,,,f,f,,d,u
55691,p,7.92,b,y,w,f,,,p,13.06,16.61,,,w,,,f,f,,d,u
55692,p,6.34,x,s,n,f,s,,n,5.35,7.47,,y,n,,,f,f,,d,w
55693,p,6.11,s,d,y,f,d,c,o,3.52,6.3,,,o,,,f,f,,h,a
55694,p,5.37,f,k,n,f,a,c,y,5.05,6.42,,i,y,,,t,,,d,u
55695,p,1.12,x,g,w,f,a,d,w,3.06,1.43,,,e,,,f,f,,l,u
55696,p,6.1,s,d,y,f,d,c,o,3.88,7.01,,,o,,,f,f,,h,a
55697,p,3.16,s,d,g,f,d,c,w,2.93,7.74,,,w,,,f,f,,g,u
55698,p,0.7,f,,o,f,d,,o,4.51,0.92,,,o,,,f,f,w,g,a
55699,p,5.68,b,k,n,f,d,c,y,5.36,6.75,,i,n,,,t,,,d,a
55700,p,1.61,o,k,n,f,,,n,4.43,1.54,,,n,,,f,f,,d,w
55701,p,0.71,f,,o,f,d,,o,4.66,1.0,,,y,,,f,f,w,g,u
55702,p,1.43,b,h,n,f,a,,n,3.62,1.28,,t,n,,,f,f,,g,u
55703,p,5.24,x,,p,f,,c,w,3.54,13.39,,,y,,,f,f,,d,a
55704,e,4.91,f,y,n,f,d,d,p,3.96,9.49,,i,n,,,f,f,,h,a
55705,e,6.35,s,l,w,f,d,,p,3.39,8.73,,,w,,,f,f,,g,u
55706,e,6.86,s,,g,f,s,c,g,7.02,21.19,b,,u,,,f,f,,d,w
55707,p,7.1,x,w,p,f,s,c,p,4.4,9.11,,,p,,,f,f,,d,w
55708,e,4.04,x,t,n,f,d,,o,6.03,5.79,,t,w,,,f,f,,d,a
55709,p,6.66,x,s,n,f,s,,g,5.14,7.81,,y,n,,,f,f,,d,a
55710,e,6.19,x,t,y,t,x,c,y,7.57,14.94,,,w,,,f,f,,d,u
55711,e,3.87,f,g,g,f,a,d,g,5.49,3.35,,s,n,,,f,f,,d,u
55712,p,6.36,s,,n,t,d,c,p,5.96,6.4,,,n,,,t,f,,d,a
55713,p,9.33,p,,n,f,p,,p,8.6,30.56,c,,n,,,f,f,p,d,a
55714,p,4.11,x,i,e,f,,,e,4.41,5.35,,,e,,,f,f,n,d,a
55715,e,9.27,x,s,n,t,p,,n,7.53,17.22,,,n,,w,t,p,,d,u
55716,p,5.12,x,,y,f,s,d,y,5.92,12.75,,i,y,,,f,f,,d,a
55717,e,5.69,f,w,y,f,f,f,f,4.78,15.04,,,y,,,f,f,,d,a
55718,e,6.57,o,,g,f,f,f,f,6.6,20.91,,,n,,,f,f,,l,s
55719,e,4.65,x,,n,f,x,c,w,8.36,9.58,b,,w,,w,t,,,g,a
55720,p,9.17,s,,r,t,d,,o,5.87,13.33,,,w,,,t,f,,d,u
55721,e,10.82,x,s,n,t,e,,n,8.63,16.39,s,,w,,,t,l,,m,u
55722,p,13.46,x,e,n,t,p,,o,8.86,29.34,c,,y,,,f,f,,d,u
55723,e,7.19,f,d,o,f,d,d,b,6.12,12.87,,,w,,,f,f,,d,a
55724,e,0.93,b,g,g,f,,,g,2.66,1.37,,,w,,,f,f,,d,s
55725,e,3.18,f,y,w,f,,c,k,6.44,3.32,,,w,,,f,f,,d,s
55726,p,3.58,x,2.7,w,f,s,,p,4.58,2.79,,,n,,,f,f,p,g,a
55727,p,10.52,x,s,r,f,s,,p,6.04,16.06,,i,n,,,f,f,,d,u
55728,e,5.0,x,,n,f,x,c,n,8.21,9.55,b,,w,,w,t,,,d,s
55729,p,2.79,x,k,n,f,s,,p,4.0,2.7,,,n,,,f,f,p,g,u
55730,e,3.65,x,,y,f,a,c,o,4.14,8.3,,,w,,,f,f,,d,u
55731,e,8.2,x,t,y,t,x,c,y,8.2,14.94,,,w,,,f,f,,d,a
55732,p,9.31,x,y,w,t,,,g,9.05,16.94,s,,w,,,t,l,,g,u
55733,p,10.27,x,i,n,f,a,,n,11.01,15.94,s,,n,,e,f,f,,h,a
